access,acess,addr:city,addr:country,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:suburb,addr:unit,amenity,amenity_1,atm,barrier,bicycle,brand,brand:wikidata,brand:wikipedia,brewery,building:levels,bus,capacity,cuisine,delivery,description,dispensing,drive_through,element_type,email,emergency,entrance,foot,geometry,healthcare,healthcare:speciality,highway,horse,internet_access,internet_access:fee,leisure,level,motor_vehicle,motorcar,motorcycle,name,name:en,name:pt,name:ru,natural,network,note,office,opening_hours,operator,operator:wikidata,operator:wikipedia,osmid,outdoor_seating,parking,payment:cash,payment:credit_cards,payment:debit_cards,phone,public_transport,religion,service:bicycle:repair,shop,short_name,smoking,sport,takeaway,traffic_calming,website,wheelchair,wifi,alt_name,building,building:colour,building:material,building:use,denomination,disused:amenity,fax,food,height,historic,indoor,internet_access:ssid,landuse,library,license_classes,lit,nodes,object,pedestrian,restaurant,roof:colour,roof:height,roof:levels,roof:material,roof:orientation,roof:shape,room,school,self_service,source,square,stars,start_date,surface,tipo,tourism,trailer,university,wikidata,wikipedia,type,ways,fixme,image
,,,,,,,,,,,,fast_food,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4966224 -3.733706),,,,,,,,4,,,,Bebelu Sanduíches,,,,,,,,,,,,623732959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5119807 -3.7287731),,,,,,,,,,,,,,,,,,,,,,,,623732997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5055648 -3.7305396),,,,,,,,,,,,Pague Menos,,,,,,,,,,,,623732998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4955243 -3.7281921),,,,,,,,,,,,Caixa Econômica Federal,,,,,,,,,,,,626873356,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,,,,,,,,bank,,yes,,,,,,,,,,,,,,,node,,,,,POINT (-38.4986132 -3.7362816),,,,,,,,,,,,Bradesco,,,,,,,,,,,,626873358,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,1010,,,,Avenida Dom Luís,,,restaurant,,,,,,,,,,,,japanese,,,,,node,,,,,POINT (-38.4919454 -3.7351372),,,,,,,,,,,,Soho,,,,,,,,,,,,626873360,,,,,,85-3486-1001,,,,,,,,,,http://www.sohofortaleza.com.br/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,1500,,60140-032,,Avenida Heráclito Graça,Aldeota,,bank,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5118239 -3.7380239),,,,,,,,,,,,Banco do Brasil,,,,,,,,,,,,626908130,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,81,,,,Rua Dragão do Mar,,,cafe,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5205075 -3.7219385),,,,,,,,,,,,Café Santa Clara,,,,,,,,,,,,627226839,,,,,,85-3219-6900,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,,,,,,,,bank,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4967879 -3.7363884),,,,,,,,,,,,Caixa Econômica Federal,,,,,,,,,,,,631057837,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,,,,,,,,hospital,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4946207 -3.7371699),,,,,,,,,,,,Gastroclínica Emergência,,,,,,,,,,,,631057851,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,BR,,814,,,,Rua Maria Tomásia,,,hospital,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.494391 -3.7365671),,,,,,,,,,,,Gastroclínica,,,,,,,,,,,,631057857,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,,,,Banco Santander,Q6496310,es:Banco Santander,,,,,,,,,,node,,,,,POINT (-38.4973994 -3.736292),,,,,,,,,,,,Banco Santander,,,,,,,,,,,,631057910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,restaurant,,,,,,,,,,,,regional,,,,,node,,,,,POINT (-38.4218299 -3.8190666),,,,,,,,,,,,,,,,,,,,,,,,975709604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,927,,60040-531,,Avenida 13 de Maio,Fátima,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5278469 -3.7507632),,,,,,,,,,,,Extrafarma,,,,,,,,Mo-Su 07:00-23:00,,,,990222763,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5301839 -3.7488338),,,,,,,,,,,,,,,,,,,,,,,,1337315973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1168,,,,Rua Frei Mansueto,,,restaurant,,,,,,,,,,,,brazilian,,,,,node,,,,,POINT (-38.4887553 -3.7346782),,,,,,,,,,,,Bodega do Poço,,,,,,,,,,,,1617987111,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4828007 -3.7373333),,,,,,,,,,,,Farmácia Tele Jucá,,,,,,,,,,,,1620495686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,restaurant,,,,,,,,,,,,pizza,,,,,node,,,,,POINT (-38.4884565 -3.7580247),,,,,,,,,,,,Shopping Pizza,,,,,,,,,,,,1620502941,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4798342 -3.7896895),,,,,,,,,,,,Banco Itaú Personalité,,,,,,,,,,,,1620517824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4708917 -3.7888706),,,,,,,,,,,,Farmácia Pague Menos,,,,,,,,,,,,1620519427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4712565 -3.7884638),,,,,,,,,,,,Escola Nova Dimensão,,,,,,,,,,,,1620568180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4710312 -3.7947157),,,,,,,,,,,,Colégio Antares,,,,,,,,,,,,1620584453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kindergarten,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.4936158 -3.8365425),,,,,,,,,,,,Colégio José de Alencar,,,,,,,,,,,,1668154144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,cafe,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5486844 -3.7247276),,,,,,,,,,,,Espaço Gourmet,,,,,,,,,,,,1723549968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,yes,,,,,,,,,,,,,,,node,,,,,POINT (-38.5572694 -3.7178937),,,,,,,,,,,,Banco Itaú,,,,,,,,,,,,1739046723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,yes,,,,,,,,,,,,,,,node,,,,,POINT (-38.5579588 -3.7170854),,,,,,,,,,,,Banco Bradesco,,,,,,,,,,,,1739049203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5327274 -3.7401757),,,,,,,,,,,,Farias Brito Pré-Vestibular Central,,,,,,,,,,,,1772974079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5390333 -3.7429916),,,,,,,,,,,,Sax Bar,,,,,,,,,,,,1798892017,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,2750,,60025-205,,Rua Padre Miguelino,Benfica,,bar,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5350851 -3.7423063),,,,,,,,,,,,Pitombeira Bar,,,,,,,,,,,,1942211027,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5374025 -3.7421989),,,,,,,,,,,,Cantinho Acadêmico Bar,,,,,,,,,,,,1942211028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5388056 -3.7409327),,,,,,,,,,,,Casa de Cultura Alemã UFC,,,,,,,,,,,,1944281416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,53,,,,Rua Paulino Nogueira,,,fast_food,,,,,,,,,,,,regional,,,,,node,,,,,POINT (-38.5378959 -3.7437733),,,,,,,,,,,,Raízes do Açaí,,,,,,,,,,,,1947380531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rua Nossa Senhora dos Remédios,,,fast_food,,,,,,,,,,,,coffee_shop,,,,,node,,,,,POINT (-38.5387812 -3.7429675),,,,,,,,,,,,Galé,,,,,,,,,,,,1947381919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,fast_food,,,,,,,,,,,,sucos,,,,no,node,,,,,POINT (-38.5380057 -3.7438442),,,,,no,no,,,,,,Açaí da Gorete,,,,,,,,Mo-Fr 08:30-20:00,Gorete,,,1947398853,no,,,,,,,,,,,yes,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5398251 -3.7451832),,,,,,,,,,,,Benfica's Bar,,,,,,,,,,,,1947404236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5404731 -3.7448071),,,,,,,,,,,,Colégio Argus,,,,,,,,,,,,1947404251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,restaurant,,,,,,,,,,,,regional,,,,,node,,,,,POINT (-38.5375273 -3.7442582),,,,,,,,,,,,Restaurante Caicó,,,,,,,,,,,,1947421135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5378433 -3.743978),,,,,no,no,,,,,,Chopana,,,,,,,,Mo-Fr 08:30-22:00,,,,1947424236,,,,,,,,,,,,no,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pub,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5378981 -3.7439321),,,,,no,no,,,,,,Bar do Ventura,,,,,,,,Mo-Fr 08:30-20:00,ventura,,,1947424244,,,,,,,,,,,,yes,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Rua Mário Studart,,,fast_food,,,,,,,,,,,,pizza,,,,,node,,,,,POINT (-38.5517431 -3.7226626),,,,,,,,,,,,Derly Pane,,,,,,,,,,,,2021684439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,post_office,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5744641 -3.7424046),,,,,,,,1,,,,Ag. Campus do Pici,,,,,,,,"Mo-Fr 08:00-12:00, 13:30-16:30",Correios,,,2021751123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,bank,,yes,,,,,,,,,,,,,,,node,,,,,POINT (-38.5742372 -3.7423332),,,,,,,,0,,,,Banco do Brasil,,,,,,,,,,,,2021751182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,2821,,,,Avenida Presidente Costa e Silva,Parque Dois Irmãos,,restaurant,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5570401 -3.8211426),,,,,,,,,,,,Vieira Alves Restaurante,,Churrascaria e Pizzaria Vieira Alves,,,,,,,,,,2052024940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,200,,,,Rua G,Parque Dois Irmãos,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.556036 -3.8210804),,,,,,,,,,,,Extrafarma (Pátio Arvoredo),,,,,,,,,,,,2052027063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,s/n,,,,Rua 41,Prefeito José Walter,,bank,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5576399 -3.8306744),,,,,,,,,,,,Bradesco (José Walter),,,,,,,,,,,,2052203002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,330,,,,Avenida C,Prefeito José Walter,,post_office,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5547727 -3.8288412),,,,,,,,,,,,Correios José Walter,,,,,,,,,,,,2052203004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,1150,,,,Rua João Galberto,Prefeito José Walter,,pharmacy,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5606223 -3.8317845),,,,,,,,,,,,Pague Menos (José Walter),,Pague Menos,,,,,,,,,,2052206134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fortaleza,,,61,,,,Avenida João de Araújo Lima,Prefeito José Walter,,restaurant,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5581179 -3.8219485),,,,,,,,,,,,Esfiha & Cia (José Walter),,,,,,,,,,,,2052206136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,node,,,,,POINT (-38.5052516 -3.7311881),,,,,,,,,,,,Casa do Frango - Suhi Bar,,,,,,,,,,,,2281482274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
